title_ru,alt_names,anime_id,status,type,year,age_rating,genres,source,studio,director,dubbing,site_rating,site_votes,site_views,url
Хеталия и страны Оси,"['Hetalia Axis Powers ', ' Хеталія та країни Осі ', ' ヘタリア Axis Powers']",7257,вышел,ONA,2009,PG-13,"['Комедия ', ' Пародия ', ' Исторический']",Манга,['Studio Deen'],['Сирохата Боб'],"['NoNameDUB Project ', ' Persona99 ', ' StreamSound']",7.44,96,120,https://old.yummyani.me/catalog/item/hetaliya-i-strany-osi-ona
Небесный Фафнир: По ту сторону,"['Fafner in the Azure: Dead Aggressor - The Beyond ', ' Fafner The Beyond ', ' Soukyuu no Fafner: Dead Aggressor - The Beyond ', ' Небесний Фафнір: По той бік ', ' Небесный Фафнир: Мёртвый агрессор — По ту сторону ', ' 蒼穹のファフナー Dead Aggressor THE BEYOND']",19614,вышел,Короткометражный фильм,2019,PG-13,"['Драма ', ' Меха ', ' Фантастика ', ' Экшен ', ' Военная тематика']",Оригинальная идея,"['Production I.G ', ' I.Gzwei']",['Ното Такаси'],['Crunchyroll'],6.1,10,6,https://old.yummyani.me/catalog/item/nebesnyy-fafnir-po-tu-storonu
Мои сводные сёстры и мачеха не злые,"['Ibitte Konai Gibo to Gishi ', "" My Mother-in-Law and Sister-in-Law Who Don't Bully Me. "", "" My Stepmother and Stepsisters Aren't Wicked "", ' My Stepmother and Stepsisters Do Not Pick On Me ', ' Мої зведені сестри та мачуха не злі. ', ' いびってこない義母と義姉']",22211,анонс,Сериал,2026,Неизвестно,"['Комедия ', ' Исторический ', ' Повседневность']",Манга,['NEWON'],['Иноуэ Кэйсукэ'],['Unknown'],0.0,0,17,https://old.yummyani.me/catalog/item/moi-svodnye-sestry-i-macheha-ne-zlye
Пожимая руку,"['Hand Shakers ', ' Держащиеся за руки ', ' Касающиеся Руками ', ' Потискуючи руку ', ' ハンドシェイカー']",8377,вышел,Сериал,2017,PG-13,"['Фантастика ', ' Экшен ', ' Суперспособности']",Оригинальная идея,['GoHands'],"['Судзуки Синго ', ' Канадзава Хиромити']","['AniDUB ', ' AniLibria ', ' SEKAI PROJECT ', ' SovetRomantica']",6.04,69,23,https://old.yummyani.me/catalog/item/pozhimaya-ruku
Это Король?,"['Shi Wang Zhe A? ', ' Shi Wangzhe A? ', ' Це Король? ', ' 是王者啊?']",5427,вышел,ONA,2022,PG-13,"['Комедия ', ' Фэнтези ', ' Не японское']",Видеоигра,['TiMi Studio Group'],['Unknown'],"['AniStar ', ' Shoker ', ' FumoDub']",5.53,32,16,https://old.yummyani.me/catalog/item/eto-korol
Сказочные мстители,"['Douwa Revenger ', ' Казкові месники ', ' 童話リベンジャーズ']",18606,онгоинг,ONA,2024,G,['Фэнтези'],Оригинальная идея,['AQUA ARIS'],['Unknown'],['Unknown'],6.18,17,7,https://old.yummyani.me/catalog/item/skazochnye-mstiteli
Перемотчик судьбы,"['""All Great Achievements Require Time"" ', ' Fate Rewinder ', ' Unmei no Makimodoshi ', ' Доленосний Перемотувач / Доленосне Перемотування ', ' 運命の巻戻士']",21863,анонс,Сериал,2026,Неизвестно,"['Приключения ', ' Фантастика ', ' Экшен']",Манга,['Bones Film'],['Мацумото Риэ'],['Unknown'],0.0,0,5,https://old.yummyani.me/catalog/item/unmei-no-makimodoshi
Заморозка: Спецвыпуски,"['Freezing Specials ', ' Hajikechau! Dokidoki Trouble Freezing ', ' Заморозка: Спецвипуски']",11495,вышел,Спешл,2011,R+,"['Этти ', ' Комедия ', ' Экшен']",Манга,['A.C.G.T'],['Unknown'],"['AniLibria ', ' Eladiel ', ' Lupin']",7.07,72,20,https://old.yummyani.me/catalog/item/zamorozka-spetsvipuski
Школьная форма Акэби,"['Akebi-chan no Sailor-fuku ', "" Akebi's Sailor Uniform "", ' Шкільна форма Акебі ', ' 明日ちゃんのセーラー服']",5764,вышел,Сериал,2022,PG-13,"['Сэйнэн ', ' Комедия ', ' Повседневность ', ' Школьная жизнь']",Манга,['CloverWorks'],['Куроки Миюки'],"['Dream Cast ', ' Jerwis ', ' Mirona ', ' Orru ', ' AniLibria ', ' OkanaTsoy ', ' Zozya ', ' AniDUB ', ' AniStar ', ' AnimeVost ', ' Studio Band']",7.77,370,62,https://old.yummyani.me/catalog/item/shkolnaya-forma-akebi
В горах у Санты: Эльфийский лес,"['Santa no Yama Yousei no Mori ', ' В горах у Санти: Ельфійський ліс ', ' サンタの山 妖精の森']",7983,вышел,OVA,1996,G,"['Комедия ', ' Фэнтези']",Оригинальная идея,['Takahashi Studio'],['Кудзуока Хироси'],['Unknown'],3.45,11,3,https://old.yummyani.me/catalog/item/v-gorah-u-santy-elfiyskiy-les
Ан-го,"['Un-Go ', ' UN-GO アン ゴ']",6901,вышел,Сериал,2011,R-17+,"['Сэйнэн ', ' Детектив ', ' Приключения ', ' Фантастика ', ' Сверхъестественное']",Новелла,['Bones'],"['Мидзусима Сэйдзи ', ' Ямамото Кодзи']","['AniDUB ', ' AniMedia ', ' Get Smart Group ', ' Persona99']",7.53,235,37,https://old.yummyani.me/catalog/item/ango
