title_ru,alt_names,anime_id,status,type,year,age_rating,genres,source,studio,director,dubbing,site_rating,site_votes,site_views,url
Моя история продолжается сегодня,"['Kyou, Watashi no Monogatari ga Hashirimasu. ', ' Моя історія триває сьогодні']",10800,вышел,ONA,2023,G,"['Повседневность ', ' Спорт']",Оригинальная идея,['Studio Colorido'],['Синго Ямасита'],['AniLane'],6.74,19,6,https://old.yummyani.me/catalog/item/moya-istoriya-prodolzhaetsya-segodnya
Детектив Конан: Цель — Когоро! Секретное расследование — OVA 5,"[""Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation "", ' Meitantei Conan OVA 05: Hyouteki wa Kogoro! Shounen Tanteidan Maruchichousa ', ' Meitantei Conan OVA 05: Hyouteki wa Kogorou!! Shounen Tanteidan Maruchichousa ', ' Meitantei Conan OVA 05: Target wa Kogorou!! Shounen Tanteidan Maruhi Report ', ' Meitantei Conan: Hyouteki wa Kogoro! Shounen Tanteidan Maruchichousa ', ' Детектив Конан OVA 05: Цель — Когоро! Секретное расследование ', ' Детектив Конан OVA-5 ', ' 名探偵コナン 標的は小五郎!!少年探偵団マル秘調査']",8258,вышел,OVA,2005,PG-13,"['Сёнэн ', ' Детектив ', ' Комедия ', ' Приключения ', ' Полицейские']",Манга,['TMS Entertainment'],['Сато Масато'],['Persona99'],6.65,23,6,https://old.yummyani.me/catalog/item/detektiv-konan-ova-5
Сердце дракона: Хроника исследования мира духов,"['Dragon Heart: Adventures Beyond This World ', ' Dragon Heart: An Exploration of the Spirit World ', ' Dragon Heart: Reikai Tanbouki ', ' Happy Science Movie 10 ', ' Серце дракона: Хроніка дослідження світу духів ', ' ドラゴン・ハート―霊界探訪記―']",18742,вышел,Полнометражный фильм,2025,G,"['Фэнтези ', ' Драконы ', ' Сверхъестественное']",Оригинальная идея,['HS Pictures Studio'],['Имакакэ Исаму'],['Unknown'],5.6,5,6,https://old.yummyani.me/catalog/item/dragon-heart-reikai-tanbouki
Госпожа Кэйфуку,"['Keifuku-san ', ' Keifukusan ', ' Пані Кейфуку ', ' 傾福さん']",6905,вышел,ONA,2017,G,['Фэнтези'],Оригинальная идея,['Yaoyorozu'],['Тацуки'],"['Panzu.info ', ' ХЗ Лол']",5.28,18,4,https://old.yummyani.me/catalog/item/gospozha-keyfuku
Ветер из Лояна: Таинственный мальчик,"['Feng qi luo yang zhi shen ji shao nian ', ' Feng Qi Luoyang Zhi Shen Ji Shaonian ', ' Feng Qi Luoyang: Shen Ji Shaonian ', ' Luoyang ', ' Вітер з Лояна: Таємничий хлопчик ', ' 风起洛阳之神机少年']",6198,вышел,ONA,2021,PG-13,"['Детектив ', ' Приключения ', ' Фэнтези ', ' Экшен ', ' Исторический']",Оригинальная идея,['Chosen'],['Unknown'],"['AniStar ', ' Автоперевод ', ' ПВА ШОУ']",6.42,19,10,https://old.yummyani.me/catalog/item/veter-iz-loyana-tainstvennyy-malchik
Призрак в доспехах 2: Невинность,"['Ghost in the Shell 2: Innocence ', ' Innocence ', ' Привид у броні 2: Невинність']",2086,вышел,Полнометражный фильм,2004,R-17+,"['Меха ', ' Фантастика ', ' Экшен ', ' Военная тематика ', ' Киберпанк ', ' Полицейские ', ' Психология']",Манга,['Production I.G'],['Мамору Осии'],"['StudioBand ', ' AniDUB ', ' MC Entertainment ', ' Studio Band ', ' Визгунов ', ' Гаврилов ', ' Проф. Двухголосый ', ' Сербин ', ' Двухголосый закадровый ', ' Гланц и Королёва']",8.12,377,48,https://old.yummyani.me/catalog/item/prizrak-v-dospehah-2
Капета,"['Capeta ', ' Kapeta ', ' Капэта ', ' カペタ']",9250,вышел,Сериал,2005,PG,"['Сёнэн ', ' Спорт']",Манга,['Studio Comet'],['Мисава Син'],['SHIZA Project'],8.0,31,16,https://old.yummyani.me/catalog/item/kapeta
Тень,"['Hyper Shinobi Animation: Shadow ', ' Kage (OVA) ', ' Shadow ', ' Тінь ', ' 影Shadow']",8108,вышел,OVA,2004,R+,"['Экшен ', ' Боевые искусства ', ' Исторический ', ' Эротика']",Оригинальная идея,['APPP'],['Unknown'],['AniFilm'],5.91,34,22,https://old.yummyani.me/catalog/item/ten
Киллтуб,"['KillTube ', ' KILLTUBE (キルチューブ)']",15497,анонс,Полнометражный фильм,2026,Неизвестно,"['Фэнтези ', ' Экшен']",Оригинальная идея,['Studio Dotou'],['Курибаяси Кадзуаки'],['Unknown'],0.0,0,12,https://old.yummyani.me/catalog/item/killtube
Жгучий взор Шаны 3 — Спешлы,"['Shakugan no Shana-tan III (Final): Final Destruction ', ' Shakugan no Shana-tan: Final Destruction ', ' Палаючий погляд Шани 3 — Спешли ', ' Пламенный взор Шаны III: Спецвыпуски']",11265,вышел,Спешл,2012,PG-13,"['Сэйнэн ', ' Комедия ', ' Пародия']",Ранобэ,['J.C.Staff'],['Ватанабэ Такаси'],"['Indie Dub ', ' Marie Bibika ', ' Mutsuko Air ', ' Max Shaft']",5.89,36,8,https://old.yummyani.me/catalog/item/zhguchiy-vzor-shani-ova-speshli
Юнико: Чёрный дождь и белое перо,"['Tanpen Unico: Kuroi Kumo to Shiroi Hane ', ' Unico: Black Cloud White Feather ', ' Unico: Black Rain and White Feather ', ' Unico: Kuroi kumo to shiroi hane ', ' Юніко: Чорний дощ і біле перо ', ' 短編ユニコ 黒い雲と白い羽']",7067,вышел,Короткометражный фильм,1979,G,"['Приключения ', ' Фэнтези']",Манга,['Sanrio'],['Хирата Тосио'],['Unknown'],6.29,14,3,https://old.yummyani.me/catalog/item/yuniko-chernyy-dozhd-i-beloe-pero
Легенда о ниндзя драконьего меча,"['Ninja Gaiden ', ' Ninja Ryu: The Dragon Sword Story ', ' Ninja Ryuukenden ', ' Легенда про ніндзя драконячого меча ', ' 忍者龍剣伝']",9273,вышел,OVA,1991,R-17+,"['Триллер ', ' Фантастика ', ' Демоны ', ' Экшен ', ' Сверхъестественное']",видеоигра,['Studio Junio'],['Камбэ Мамору'],['AniFilm'],6.31,13,4,https://old.yummyani.me/catalog/item/legenda-o-nindzya-ryukene
Вандред — OVA,"['Vandread Integral ', ' Vandread The Movement Stage ', ' Vandread: Integral ', ' Vandread: Taidou-hen ', ' Вандред OVA ', ' ヴァンドレッド 胎動篇']",5107,вышел,OVA,2001,PG-13,"['Этти ', ' Комедия ', ' Меха ', ' Приключения ', ' Фантастика ', ' Космос ', ' Экшен']",Оригинальная идея,['Gonzo'],['Мори Такэси'],['Unknown'],5.2,15,6,https://old.yummyani.me/catalog/item/vandred-ova
"Маг поддержки на побегушках ещё не осознал, что он сильнейший","['Magical Buffs: The Support Caster Is Stronger Than He Realized! ', ' Until the Chore Granting Sorcerer Realized His Strongest ', ' Zatsuyou Fuyo Jutsushi ga Jibun no Saikyou ni Kizuku made ', ' Маг підтримки на побігеньках ще не усвідомив, що він найсильніший ', ' 雑用付与術師が自分の最強に気付くまで']",27268,анонс,Сериал,2027,Неизвестно,"['Фэнтези ', ' Экшен']",Манга,['J.C.Staff'],['Окамото Хидэки'],['Unknown'],0.0,0,20,https://old.yummyani.me/catalog/item/zatsuyou-fuyo-jutsushi-ga-jibun-no-saikyou-ni-kizuku-made
Белый альбом 2: Обратная сторона счастья,"['WA2 ', ' White Album 2 ', ' White Album2 ', ' Белый альбом 2 ', ' Білий альбом 2: Зворотний бік щастя ', ' ホワイトアルバム2']",9826,вышел,Сериал,2013,PG-13,"['Сэйнэн ', ' Драма ', ' Романтика ', ' Любовный треугольник ', ' Музыка ', ' Повседневность']",Визуальная новелла,['Satelight'],['Андо Масаоми'],"['AniDUB ', ' SHIZA Project']",7.67,141,43,https://old.yummyani.me/catalog/item/belyy-albom-2
Сейлор Мун: Кристалл,"['Bishoujo Senshi Sailor Moon Crystal ', ' Pretty Guardian Sailor Moon Crystal ', ' Сейлор Мун: Кристал ', ' 美少女戦士セーラームーンクリスタル']",1293,вышел,ONA,2014,PG-13,"['Махо-сёдзё ', ' Сёдзё ', ' Приключения ', ' Романтика ', ' Фэнтези']",Манга,['Toei Animation'],['Сакай Мунэхиса'],"['AniLibria ', ' Nuts ', ' OkanaTsoy ', ' Zozya ', ' Cleo-chan ', ' SlivciS ', ' Neonoir ', ' AniDUB ', ' CACTUS team ', ' KANSAI Studio ', ' LE-Production']",7.55,85,53,https://old.yummyani.me/catalog/item/sejlor-mun-kristall
Раковина фантастических видений,"['Fantascope Tylostoma ', ' Fantascope: Tylostoma ', ' Fantascope~tylostoma~ ', ' Раковина фантастичних бачень']",27709,вышел,OVA,2006,R+,"['Фэнтези ', ' Сверхъестественное']",Неизвестно,['Toei Animation'],['Кимура Сойти'],['animereactor'],6.43,7,2,https://old.yummyani.me/catalog/item/rakovina-fantasticheskih-videniy
Лилии на ветру: Спецвыпуск,"['Yuru Yuri Special ', ' Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal ', ' YuruYuri: For Whatever Reason, Never Ending, Heart Throbbing, Pitter-patter, Paradox Eternal ', ' Лілії на вітру: Спецвипуск ', ' ゆるゆり どうして☆止まらない☆トキメキ☆ドキドキ☆パラドクス☆エターナル']",11817,вышел,Спешл,2011,PG-13,"['Сёдзё-ай ', ' Комедия ', ' Школьная жизнь']",Манга,['Doga Kobo'],['Ота Масахико'],"['SHIZA Project ', ' Лизавета']",6.64,61,10,https://old.yummyani.me/catalog/item/lilii-na-vetru-spetsvipusk
Патруль времени Бона,"['T・P BON ', ' T.P BON ', ' Time-Patrol Bon ', ' Патруль часу Бона']",11290,вышел,ONA,2024,PG-13,"['Приключения ', ' Путешествия во времени ', ' Экшен ', ' Исторический']",Манга,['Bones'],['Андо Масахиро'],"['FoxForce ', ' Slics ', ' AniStar ', ' SHIZA Project ', ' TVShows']",6.2,10,7,https://old.yummyani.me/catalog/item/patrul-vremeni-bona
Для сердца,"['To Heart ', ' Для серця ', ' トゥハート']",7818,вышел,Сериал,1999,PG-13,"['Драма ', ' Комедия ', ' Романтика ', ' Фантастика ', ' Гарем ', ' Повседневность ', ' Школьная жизнь']",Игра,['OLM'],['Такахаси Наохито'],['Евгения Лурье'],5.74,27,11,https://old.yummyani.me/catalog/item/dlya-serdca
Макросс 7,"['M7 ', ' Macross 7 ', ' マクロス７']",6974,вышел,Сериал,1994,PG-13,"['Сёнэн ', ' Драма ', ' Комедия ', ' Меха ', ' Приключения ', ' Романтика ', ' Фантастика ', ' Космос ', ' Экшен ', ' Военная тематика ', ' Музыка']",Оригинальная идея,['Production Reed'],['Амино Тэцуро'],"['AniDUB ', ' Animegroup ', ' ShinkaDan ', ' Любительский двухголосый']",5.7,33,15,https://old.yummyani.me/catalog/item/makross-7-tv
Коколорс,"['Cocolors ', ' COCOLORS（コカラス）']",6426,вышел,Полнометражный фильм,2017,PG-13,['Фантастика'],оригинальная идея,"['Kamikaze Douga ', ' Nishiki Studio']",['Ёкосима Тосихиса'],"['Panzu.info ', ' ХЗ Лол ', ' Юджин Найт']",6.63,38,11,https://old.yummyani.me/catalog/item/kokolors
Вкусы молодости,"['Flavors of Youth ', ' Shikioriori ', ' Si Shi Qing Chun ', ' Ароматы юности ', ' Поэма переплетённых сезонов ', ' Смаки молодості ', ' 詩季織々（しきおりおり）']",5223,вышел,Полнометражный фильм,2018,PG-13,"['Драма ', ' Романтика ', ' Повседневность']",Оригинальная идея,['CoMix Wave Films'],['Такэути Ёситака'],"['AniLibria ', ' Dejz ', ' Ados ', ' Nuts ', ' OkanaTsoy ', ' Hekomi ', ' Lupin ', ' Malevich ', ' Cleo-chan ', ' Amikiri ', ' Sharon ', ' Anzen ', ' Silv ', ' Narea ', ' MyAska ', ' AniDUB ', ' Jaskier ', ' KANSAI Studio ', ' BeeSound']",7.69,209,26,https://old.yummyani.me/catalog/item/vkusy-molodosti
Аниме-тренировки 2,"['Ani Tore! XX ', ' Anime de Training! Xx ', ' Anitore! XX: Hitotsu Yane no Shita de ', ' Аніме-тренування 2 ', ' Зарядка! 2 ', ' あにトレ! XX~ひとつ屋根の下で~']",9977,вышел,Малометражный сериал,2016,PG-13,"['Комедия ', ' Спорт']",Оригинальная идея,['Rising Force'],['Нигорикава Ацуси'],"['AniDUB ', ' Vel ', ' Oni']",6.2,55,15,https://old.yummyani.me/catalog/item/zaryadka-2
Судьба/Великий приказ: Первая Миссия,"['Fate/Grand Order -First Order- ', ' Fate/Grand Order: First Order ', ' Доля/Великий наказ: Перша Місія ', ' Судьба: Великая Кампания. Первая Миссия ', ' Судьба/Великий приказ']",278,вышел,Спешл,2016,PG-13,"['Сэйнэн ', ' Драма ', ' Приключения ', ' Фэнтези ', ' Магия ', ' Современное фэнтези ', ' Экшен ', ' Сражения на мечах ', ' Суперспособности ', ' Сверхъестественное']",Игра,['Lay-duce'],['Намба Хитоси'],"['AniDUB ', ' AniLibria ', ' AniMedia ', ' SHIZA Project']",6.58,341,68,https://old.yummyani.me/catalog/item/sud-ba-velikaya-kampaniya-pervaya-missiya
Девичья опера: Свет ревю — Спецвыпуски,"['Revue Starlight Specials ', ' Shoujo☆Kageki Revue Starlight Specials ', ' Дівоча опера: Світ ревю — Спецвипуски ', ' 少女☆歌劇 レヴュー・スタァライト未放送エピソード']",13902,вышел,Спешл,2018,PG-13,['Комедия'],Оригинальная идея,['Kinema Citrus'],['Фурукава Томохиро'],"['Panzu.info ', ' ХЗ Лол ', ' AniLibria ', ' SHIZA Project ', ' ХЗ Лол']",5.4,5,2,https://old.yummyani.me/catalog/item/devichya-opera-svet-revyu-spetsvipuski
Список нечисти,"['Monster List ', ' Yaoguai Mingdan ', ' Список нечисті ', ' Список чудовища ', ' 妖怪名单']",8652,вышел,ONA,2014,PG-13,"['Комедия ', ' Романтика ', ' Фэнтези ', ' Экшен']",Маньхуа,['Haoliners Animation League'],['Ли Хаолин'],['AnimeVost'],6.39,67,24,https://old.yummyani.me/catalog/item/spisok-nechisti
Судьба/Девочка-волшебница Иллия 2: Продолжение — Спецвыпуски,"['Fate/Kaleid Liner Prisma Illya 2Wei Herz! Shorts ', ' Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials ', ' Fate/kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！ショートアニメ ', ' Доля/Дівчинка-чарівниця Іллія 2: Продовження — Спецвипуски']",13838,вышел,Спешл,2015,PG-13,"['Махо-сёдзё ', ' Этти ', ' Комедия']",Манга,['SILVER LINK.'],"['Хисамацу Саки ', ' Савайри Юки ', ' Удзииэ Ёсихиро ', ' Ямаёси Казуюки']","['Panzu.info ', ' ХЗ Лол']",6.3,76,16,https://old.yummyani.me/catalog/item/sudba-devochka-volshebnitsa-illiya-prodolzhenie-speshli
Логин Горизонт 3,"['Log Horizon 3rd Season ', ' Log Horizon Third Season ', ' Log Horizon: Destruction of the Round Table ', ' Log Horizon: Entaku Houkai ', ' Лог Горизонт 3 ', ' Логин Горизонт: Падение круглого стола ', ' Логін Горизонт 3 ', ' Покорение горизонта 3 ', ' Покорение Горизонта: Кризис круглого стола ', ' Покорение горизонта: Падение круглого стола']",685,вышел,Сериал,2021,PG-13,"['Сёнэн ', ' Приключения ', ' Фэнтези ', ' Магия ', ' Экшен ', ' Игры ', ' Исэкай']",Ранобэ,['Studio Deen'],['Исихира Синдзи'],"['AniDUB ', ' Nika Lenina ', ' Vel ', ' Shaman ', ' Inspector_Gadjet ', ' Berserk ', ' Aronilo ', ' AniLibria ', ' Dejz ', ' OkanaTsoy ', ' Itashi ', ' Malevich ', ' StudioBand ', ' AniMedia ', ' Jisedai ', ' Sergei Vasya ', ' Studio Band ', ' Trina_D ', ' Trina_D & Rizz_Fisher ', ' youmiteru']",7.56,684,89,https://old.yummyani.me/catalog/item/login-gorizont-3
Мобильный воин Гандам: Железнокровные сироты — Охота Урд. Путь маленького претендента,"['Kidou Senshi Gundam: Tekketsu no Orphans - Urdr Hunt: Chiisana Chousensha no Kiseki ', ' Mobile Suit Gundam: Iron-Blooded Orphans – Urdr Hunt Special Edition: Path of the Little Challenger ', ' Гандам: Железнокровные сироты — Урд Хант. Путь юного претендента ', ' Мобільний Воїн Ґандам: Сироти Залізної Крові - Урдр Хант: Сліди Маленького Челленджера ', ' 機動戦士ガンダム 鉄血のオルフェンズ ウルズハント -小さな挑戦者の軌跡-']",24503,вышел,Полнометражный фильм,2025,R-17+,"['Сёнэн ', ' Драма ', ' Меха ', ' Фантастика ', ' Космос']",Оригинальная идея,['Sunrise'],['Нагай Тацуюки'],"['AniDUB ', ' AniStar']",6.44,9,15,https://old.yummyani.me/catalog/item/kidou-senshi-gundam-tekketsu-no-orphans-urdr-hunt-chiisana-chousensha-no-kiseki
Эликсир красоты,"['Beauty Water ', ' Gigi Goegoe Sunghyungsoo ', ' Еліксир краси ', ' Жидкая красота ', ' 기기괴괴-성형수']",11831,вышел,Полнометражный фильм,2020,R+,"['Триллер ', ' Ужасы ', ' Фантастика']",Манхва,['Studio Animal'],['Unknown'],"['SovetRomantica ', ' Студия ""Колобок"" ', ' liosaa']",6.17,42,16,https://old.yummyani.me/catalog/item/eliksir-krasoti
Тигр и Журавль,"['Hu He Yao Shi Lu ', ' Tiger Crane ', ' Тигр і Журавель ', ' 虎鹤妖师录']",15083,вышел,ONA,2024,PG-13,"['Приключения ', ' Фэнтези ', ' Демоны ', ' Экшен ', ' Не японское ', ' Китайское 3D']",Маньхуа,['Motion Magic'],['Unknown'],"['AniStar ', ' The Voice Company']",6.53,17,9,https://old.yummyani.me/catalog/item/hu-he-yao-shi-lu
"Император джунглей: Вперёд, Лео!","['Go Ahead Leo! ', ' Jungle Emperor ', ' Jungle Taitei: Susume Leo! ', ' Leo the Lion ', ' New Jungle Emperor ', ' Onward Leo! ', ' Белый лев Кимба ', ' Імператор джунглів: Вперед, Лео! ', ' Лео: Император джунглей ', ' ジャングル大帝・進めレオ']",11893,вышел,Сериал,1966,G,"['Сёнэн ', ' Приключения ', ' Фэнтези']",Манга,['Mushi Production'],['Синго Араки'],['Unknown'],5.0,13,4,https://old.yummyani.me/catalog/item/imperator-dzhungley-vpered-leo
Претендентки,"[""Wanna-Be's "", ' Wannabes ', ' Wonabîzu ', ' Упорные ', ' ウォナビーズ']",7950,вышел,OVA,1986,PG-13,"['Драма ', ' Комедия ', ' Экшен ', ' Спорт']",Оригинальная идея,['AIC'],['Хасэгава Ясуо'],['Михалев'],5.11,9,4,https://old.yummyani.me/catalog/item/pretendentki
Баки 2,"['Baki ', ' Baki: Dai Raitaisai-hen ', ' Baki: The Great Raitai Tournament Saga ', ' Баки ONA-2 ', ' Бакі 2 ', ' Боец Баки 2 ', ' バキ 大擂台賽編']",7895,вышел,ONA,2020,R-17+,"['Сёнэн ', ' Экшен ', ' Боевые искусства ', ' Спорт']",Манга,['TMS Entertainment'],['Хирано Тосики'],"['AniDUB ', ' Lelik_time ', ' Qbiq ', ' Stefan ', ' AniStar ', ' AnimeVost ', ' ColdFilm']",8.05,753,121,https://old.yummyani.me/catalog/item/baki-ona-2
Девочки в летних платьях,"['Girls in Summer Dresses ', ' Natsufuku no Shoujo-tachi ', ' Natsufuku no Shoujo-tachi: Hiroshima ', ' Natsufuku no shoujotachi ', ' Shouwa 20-nen 8-gatsu 6-ka ', ' Девушки в летних платьях ', ' Дівчатка в літніх сукнях ', ' 夏服の少女たち']",5078,вышел,Спешл,1988,PG-13,"['Драма ', ' Исторический']",Книга,['Madhouse'],['Хирата Тосио'],"['Get Smart Group ', ' Persona99 ', ' AniDUB ', ' AniLibria ', ' AniStar ', ' AnimeVost ', ' SHIZA Project']",6.5,10,4,https://old.yummyani.me/catalog/item/devochki-v-letnih-platyah
Поиск исходных данных,"['Roots Search ', ' Roots Search: Life Devourer X ', ' Roots Search: Shokushin buttai X ', ' Пошук вихідних даних ', ' ルーツ・サーチ 食心物体Ｘ']",9412,вышел,OVA,1986,R+,"['Ужасы ', ' Фантастика ', ' Космос']",Оригинальная идея,['Nippon Columbia'],['Сугай Хисаси'],['AniDUB'],4.19,16,5,https://old.yummyani.me/catalog/item/poisk-ishodnyh-dannyh
Умри сейчас,"['Cerebrum ', ' Die Now ', ' Duan Nao ', ' Помри зараз ', ' 端脑']",6511,вышел,ONA,2014,R-17+,"['Детектив ', ' Триллер ', ' Фантастика']",Неизвестно,['Haoliners Animation League'],['Unknown'],"['LightFamily ', ' SovetRomantica']",6.21,14,5,https://old.yummyani.me/catalog/item/umri-seychas
"Кланнад: Продолжение истории — Другой мир, глава Кё","['Clannad ~After Story~: Another World ', ' Clannad: After Story - Another World, Kyou Chapter ', ' Clannad: After story - Mô hitotsu no sekai - Kyô hen ', ' Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen ', ' Clannad: After Story OVA ', ' Kyou Chapter ', ' Кланнад: Продовження історії — Інший світ, глава Кьо ', ' クラナド\u3000アフターストーリー\u3000もうひとつの世界\u3000杏編']",6647,вышел,Спешл,2009,PG-13,"['Сэйнэн ', ' Драма ', ' Романтика ', ' Школьная жизнь']",Визуальная новелла,['Kyoto Animation'],['Исихара Тацуя'],['Unknown'],8.1,272,27,https://old.yummyani.me/catalog/item/klannad-prodolzhenie-istorii-drugoy-mir-glava-ke
Палач богов: Между смертным и божественным царством,"['Slay The Gods ', ' Zhan Shen: Fanchen Shenyu ', ' Кат богів: Між смертним і божественним царством ', ' Убийца богов из психушки ', ' 斩神之凡尘神域']",13487,вышел,ONA,2024,PG-13,"['Фэнтези ', ' Экшен ', ' Психология ', ' Не японское ', ' Китайское 3D']",Новелла,['Shenman Entertainment'],['Unknown'],"['LightFamily ', ' Аркеро ', ' Diablo ', ' Эллен ', ' Sino Tyan ', ' Besnoon ', ' Kiriru ', ' njuciti ', ' Mira Hum ', ' Tim Wagner ', ' AniMaunt ', ' SHIZA Project ', ' HORIZON ', ' ТО ная']",8.31,200,130,https://old.yummyani.me/catalog/item/zhan-shen-fanchen-shenyu
Моя геройская академия: Бейсбол,"['Boku no Hero Academia (ONA) ', ' Boku no Hero Academia HLA ', ' Boku no Hero Academia: Warae! Jigoku no You ni ', ' Heroes League Baseball ', ' My Hero Academia ONA ', ' Моя геройская академия ONA ', ' Моя геройська академія: Бейсбол ', ' 僕のヒーローアカデミア']",5037,вышел,ONA,2022,PG-13,"['Сёнэн ', ' Комедия ', ' Экшен ', ' Спорт ', ' Школьная жизнь']",Манга,['Bones'],['Ёсихиро Оябу'],"['Crunchyroll ', ' AniStar ', ' AnimeVost ', ' JAM ', ' SHIZA Project ', ' TVShows']",6.69,323,49,https://old.yummyani.me/catalog/item/moya-geroyskaya-akademiya-ona
Маленькое лекарство: Феи хорошенького лекарства 3,"['PetitCure: Precure Fairies Season 3 ', ' Маленькі ліки: Феї гарненьких ліків 3 ', ' ぷちきゅあ～Precure Fairies～ シーズン3']",27312,онгоинг,ONA,2026,G,"['Махо-сёдзё ', ' Повседневность']",Оригинальная идея,['IKIF+'],['Unknown'],['Unknown'],5.0,2,2,https://old.yummyani.me/catalog/item/petitcure-precure-fairies-season-3
Гандам: Сконструированные бойцы — Дневник битвы,"['Gundam Build Fighters: Battlogue ', ' Гандам: Сконструйовані бійці — Щоденник битви ', ' ガンダムビルドファイターズ バトローグ']",18253,вышел,ONA,2017,G,"['Сёнэн ', ' Меха ', ' Фантастика ', ' Экшен']",Оригинальная идея,['Sunrise'],['Обари Масами'],['Indie Dub'],5.13,16,5,https://old.yummyani.me/catalog/item/gandam-skonstruirovannye-boycy-dnevnik-bitvy
Пожалуйста! Близнецы,"['Onegai Twins ', ' Onegai☆Twins ', ' Please Twins! ', ' Будь ласка! Близнюки ', ' Пожалуйста, близнецы! ', ' おねがい☆ツインズ']",9632,вышел,Сериал,2003,PG-13,"['Сэйнэн ', ' Драма ', ' Комедия ', ' Романтика ', ' Любовный треугольник ', ' Фантастика ', ' Гарем ', ' Школьная жизнь']",Оригинальная идея,['Daume'],['Идэ Ясунори'],['AniDUB'],7.0,65,21,https://old.yummyani.me/catalog/item/pozhaluysta-bliznecy-tv
Столичная история,"['Capital Story ', ' Doomed Megalopolis ', ' Teito Monogatari ', ' Обречённый мегаполис ', ' Проклятый мегаполис ', ' Столична історія ', ' 帝都物語']",5245,вышел,OVA,1991,R+,"['Ужасы ', ' Исторический ', ' Сверхъестественное']",книга,['Madhouse'],['Rintarou'],['Люб. Одноголосый'],5.78,27,14,https://old.yummyani.me/catalog/item/stolichnaya-istoriya
Досанко-гяру чудо как милы,"['Dosanko Gal wa Namara Menkoi ', ' Hokkaido Gals Are Super Adorable! ', ' Досанко-ґяру неймовірно милі ', ' 道産子ギャルはなまらめんこい']",10656,вышел,Сериал,2024,PG-13,"['Сёнэн ', ' Комедия ', ' Романтика ', ' Повседневность ', ' Школьная жизнь']",Манга,"['SILVER LINK. ', ' Blade']","['Мисудзу Хосино ', ' Мирай Минато']","['AniBaza ', ' Evangelyn ', ' Dancel ', ' MiNai ', ' Mirtle ', ' Володя Неординарный ', ' Dream Cast ', ' Inferno_Phantom ', ' Dreamy Sleep ', ' Libertina ', ' Izzy Mei ', ' CranBerry ', ' AniDUB ', ' Lonty ', ' Shaman ', ' Muroi ', ' Di ', ' AniLibria ', ' OkanaTsoy ', ' Gomer ', ' SlivciS ', ' Buzya ', ' OnWave ', ' noir ', ' Алина Мирус ', ' Karmy ', ' INSANITY ', ' SHIZA Project ', ' Mr_OverTryk ', ' metka ', ' Анархия ', ' Its_HuM ', ' Ушастая озвучка ', ' Veda ', ' Rick ', ' Smetana ', ' Творческая студия МИР ', ' Sutory ', ' Yui ', ' AniStar ', ' AnimeVost ', ' BanderYmka ', ' КОМНАТА ДИДИ ', ' CelestialDub']",7.6,1308,306,https://old.yummyani.me/catalog/item/dosanko-gyaru-chudo-kak-mili
Расцвет,"['BLOSSOM ', ' Zapuni Project ', ' Розквіт ', ' Цветение']",6669,вышел,Короткометражный фильм,2012,G,"['Драма ', ' Музыка']",Неизвестно,['Ordet'],['Ямамото Ютака'],"['AniDUB ', ' AniHoup ', ' SHIZA Project']",5.94,18,4,https://old.yummyani.me/catalog/item/rascvet
Ювенильная песня 2,"['Great Journey of Teenagers 2 ', ' Shao nian ge xing ', ' Shao Nian Ge Xing 2nd Season Part 1 ', ' Shaonian Ge Xing 2nd Season ', ' Shaonian Ge Xing: Feng Hua Xue Yue Pian Part 1 ', ' Юнацька пісня 2 ', ' 少年歌行 风花雪月篇']",4919,вышел,ONA,2021,PG-13,"['Детектив ', ' Приключения ', ' Фэнтези ', ' Экшен ', ' Боевые искусства ', ' Исторический ', ' Не японское ', ' Китайское 3D']",Новелла,['CG Year'],['Го Юн'],"['AniMy ', ' ПВА ШОУ']",6.64,45,18,https://old.yummyani.me/catalog/item/yuvenilnaya-pesnya-2
Хати из Сибуи | Часть 3,"['Shibuya♡Hachi Part 3 ', ' SHIBUYA♡HACHI 第3クール']",17113,вышел,Малометражный сериал,2025,G,['Комедия'],Оригинальная идея,['Nippon Animation'],['Умото Юдзи'],['Unknown'],5.5,2,2,https://old.yummyani.me/catalog/item/hati-iz-sibui-2
Лунная миля: Приземление,"['Moonlight Mile 2nd Season: Touch Down ', ' Moonlight Mile 2nd shîzun: Touch down ', ' Місячна миля: Приземлення ', ' ムーンライトマイル 2ndシーズン -Touch down-']",10123,вышел,Сериал,2007,R+,"['Драма ', ' Приключения ', ' Фантастика ', ' Космос']",Манга,['Studio Hibari'],['Судзуки Ику'],"['AniDUB ', ' Azazel ', ' Mai']",7.5,24,7,https://old.yummyani.me/catalog/item/lunnaya-milya-2
